UniqueID,3_S3_R1,3-Pur_S17_R1,3_S3_R2,3-Pur_S17_R2,2_S2_R1,2_S2_R2,2-Pur_S16_R1,2-Pur_S16_R2,Undetermined_S0_R2,Undetermined_S0_R1,4_S4_R1,4-Pur_S18_R1,4_S4_R2,4-Pur_S18_R2,60-Pur_S26_R1,60-Pur_S26_R2,60_S12_R1,60_S12_R2,56_S11_R1,56_S11_R2,56-Pur_S25_R1,56-Pur_S25_R2,62-Pur_S27_R2,62-Pur_S27_R1,62_S13_R1,62_S13_R2,1_S1_R2,1_S1_R1,1-Pur_S15_R1,1-Pur_S15_R2,44_S8_R1,44_S8_R2,44-Pur_S22_R1,44-Pur_S22_R2,24-Pur_S20_R1,24_S6_R1,24_S6_R2,24-Pur_S20_R2,14-Pur_S19_R2,14-Pur_S19_R1,14_S5_R2,14_S5_R1,34-Pur_S21_R2,34-Pur_S21_R1,34_S7_R2,34_S7_R1,52_S10_R2,52_S10_R1,52-Pur_S24_R2,52-Pur_S24_R1,48_S9_R2,48_S9_R1,48-Pur_S23_R2,48-Pur_S23_R1,Ctl_S14_R1,Ctl_S14_R2,Ctl-Pur_S28_R1,Ctl-Pur_S28_R2
675120:Dothistroma septosporum NZE10,108,147,107,162,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8469:Chelonia mydas,0,0,0,0,22,17,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,184,44,11
754093:Shigella dysenteriae 1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,201,61,14
147538:Pezizomycotina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,168,136,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398511:Bacillus pseudofirmus OF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,106,118,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555079:Thermosediminibacter oceani DSM 16646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,54,80,76,75,35,39,0,41,40,0,0,28,0,0,0,0
1565991:Bacillus sp. X1(2014),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,142,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,37,37,44,57,0,0,0,0,0,0
520487:Brucella suis bv. 3 str. 686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,156,129,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416753:Ensifer adhaerens OV14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,144,145,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4072:Capsicum annuum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,150,139,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865938:Weeksella virosa DSM 16922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,76,63,61,0,0,0,0,51,0,0,49,0,0,0,0,0,39,34,44,0,0,0,0,0,0,0,0
548479:Mobiluncus curtisii ATCC 43063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,153,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,47,0,0,0,0,0,0,0,0,0,0,0,0
1003195:Streptomyces cattleya NRRL 8057 = DSM 46488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,161,89,115,0,0,0,0,0,0,0,0
316274:Herpetosiphon aurantiacus DSM 785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,133,113,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
45351:Nematostella vectensis,61,36,47,36,92,77,36,22,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,17,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
1257118:Acanthamoeba castellanii str. Neff,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,121,102,72,0,0,0,0,0,0,0,0,0,38,40,35,0,0,0,0,1,0,0,1
79206:Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,146,57,59,0,0,0,0,0,0,0,0
6210:Echinococcus granulosus,105,71,51,40,97,62,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614:Serratia liquefaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,178,42,59
5854:Plasmodium reichenowi,0,21,0,23,120,122,118,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
864069:Microvirga lotononidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,164,109,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1117:Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,51,48,0,90,72,70,90,0,0,0,0,0,0,0,0
489825:Moorea producens 3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,65,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,50,45,0,0,0,0,0,0,0,0,0,0,0,0
36300:Pelecanus crispus,115,111,98,121,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
768507:Cytophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,159,68,44,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224719:Methanobrevibacter sp. AbM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,88,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,52,59,71,0,0,0,0,0,0,0,0
761193:Runella slithyformis DSM 19594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,57,0,37,47,0,51,48,40,44,42,0,0,0,0,0,0,0,0
5804:Eimeria maxima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,63,49,52,58,42,71,63,0,0,0,0,0,0,0,0,0,4,1,0
1347342:Formosa agariphila KMM 3901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,89,50,45,59,55,42,36,0,0,0,0
1300:Streptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,167,84,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318466:Acholeplasma palmae J233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,47,0,0,0,65,43,49,33,37,0,45,0,51,33,0,0,0,0,0
57397:Apaloderma vittatum,0,0,0,0,68,42,19,12,0,0,0,0,0,0,0,0,0,0,58,54,97,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585544:Bacteroides sp. D22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,108,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40323:Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,145,77,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,0,3
1507806:Campylobacter fetus subsp. testudinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,116,105,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
871963:Desulfitobacterium dichloroeliminans LMG P-21439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,50,0,0,47,51,51,58,36,61,0,34,0,0,0,0,0,0,0,0
227882:Streptomyces avermitilis MA-4680 = NBRC 14893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,121,88,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213119:Desulfobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,106,114,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193806:Dehalococcoides mccartyi BTF08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,129,95,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710973:uncultured gamma proteobacterium EB080_L93H08,0,0,0,0,0,0,0,0,0,0,153,89,112,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36853:Desulfitobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,10,0,0,0,0,0,0,0,0,0,53,53,0,48,49,77,62,59,0,0,0,0,0,0,0,0,0,0,0,0
29547:Epsilonproteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,134,91,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321327:Synechococcus sp. JA-3-3Ab,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,137,123,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44056:Aureococcus anophagefferens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,47,0,81,83,63,61,0,0,0,0,0,0,0,0,0,4,1,3
1513:Clostridium tetani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,50,56,40,0,0,0,0,37,42,38,46,36,34,0,0,0,0,0,0,0,0,0,0
80864:Comamonadaceae,46,35,40,29,0,0,0,0,0,0,86,57,86,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1
1567484:Lactobacillus phage LfeInf,0,0,0,0,177,151,51,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706587:Desulfomonile tiedjei DSM 6799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,123,98,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045855:Pseudoxanthomonas spadix BD-a59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,108,67,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166314:Synechococcus sp. WH 8109,29,25,25,38,0,0,0,0,0,0,0,0,0,0,33,48,28,37,36,28,34,30,0,0,0,0,13,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51316:Eimeria praecox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,0,79,92,60,61,0,0,0,36,0,0,0,0,0,0,0,0
162156:uncultured Bacteroides sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,77,74,85,40,0,44,42,0,0,0,0,0,0,0,0,0,0,0,0
28895:Thermoanaerobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,43,49,47,58,59,45,68,0,0,24,0,0,0,0,0
615:Serratia marcescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,158,23,51
657309:Bacteroides xylanisolvens XB1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,104,110,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2769:Chondrus crispus,108,72,86,68,31,28,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2132:Spiroplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,139,57,72,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3075:Auxenochlorella protothecoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,106,44,70,0,0,0,0,0,0,0,0
33986:Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,60,48,28,40,97,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710993:uncultured Sphingomonadales bacterium HF0500_24B12,0,0,0,0,0,0,0,0,0,0,50,32,52,37,91,78,50,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508657:Ruminiclostridium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,53,56,56,33,41,36,0,37,0,24,32,0,0,0,0
1489388:Euteleosteomorpha,0,0,0,0,10,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,185,33,29
1526927:Planococcus sp. PAMC 21323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,53,41,43,64,72,48,41,0,0,0,0
199310:Escherichia coli CFT073,139,84,115,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3641:Theobroma cacao,0,0,0,0,7,14,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,59,0,48,54,58,48,57,0,0,0,0,0,0,0,0,0,0,0,0
469610:Burkholderiales bacterium 1_1_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,48,63,65,37,47,39,48,0,0,0,0,0,0,0,0,0,0,0,0
360910:Bordetella avium 197N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4530:Oryza sativa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,73,66,70,0,0,0,0,55,56,43,0,0,0,0,0,0,0,0,0,0,3,0,0
862965:Haemophilus parainfluenzae T3T1,55,56,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,62,89,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1393647:uncultured bacterium Contigcl_1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,60,71,71,47,0,51,52,0,0,0,0,0,0,0,0,0,0,0,0
1501:Clostridium pasteurianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,50,44,49,40,0,0,0,53,39,51,0,48,0,0,0,0,0,0,0,0,0,0,0,0
481743:Paenibacillus sp. Y412MC10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,104,88,95,0,0,0,0
504472:Spirosoma linguale DSM 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,47,57,50,0,0,0,0,52,54,36,43,0,0,0,0,0,0,0,0
1343846:uncultured bacterium FPPP_33K14,0,0,0,0,142,125,65,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672:Vibrio vulnificus,0,0,0,0,0,0,16,8,114,107,0,16,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,21,12,0,0
84111:Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,96,83,73,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
1345695:Clostridium saccharobutylicum DSM 13864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,44,45,41,0,42,61,44,60,0,0,0,0,0,0,0,0
1279:Staphylococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,101,101,62,72,0,0,0,0,0,0,0,0
29000:Pucciniomycotina,101,58,85,67,34,25,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880724:Methanotorris igneus Kol 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,208,40,44,0,0,0,0,0,0,0,0
2159:Methanobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,132,66,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
943:Ehrlichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,96,92,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147389:Triticeae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,87,114,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499967:bacterium UASB270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,53,0,0,59,55,41,41,35,46,0,0,0,0,0,0,0,0,0,0
"565661:Enterococcus faecium 1,231,408",0,0,0,0,122,131,59,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357804:Psychromonas ingrahamii 37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,118,97,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176280:Staphylococcus epidermidis ATCC 12228,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,108,111,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321846:Pseudomonas simiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,92,86,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343739:Palaeococcus pacificus DY20341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,96,62,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717646:Baudoinia compniacensis UAMH 10762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,101,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646529:Desulfosporosinus acidiphilus SJ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,50,0,0,0,0,0,0,50,0,0,40,54,44,51,0,0,32,0,0,0,0,0,0,0,0,0
1827:Rhodococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,93,97,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1343844:uncultured bacterium FGYC_13M19,0,0,0,0,0,0,0,0,0,0,69,49,74,50,0,33,0,0,22,21,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123366:Thalassospira xiamenensis M-5 = DSM 17429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,147,78,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929506:Clostridium botulinum BKT015925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,66,44,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,40,0,45,0,0,0,0,0,0,0,0
3193:Embryophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,120,90,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457570:Natranaerobius thermophilus JW/NM-WN-LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,42,0,41,51,60,64,59,0,0,0,0,0,0,0,0
9539:Macaca,56,39,49,44,47,53,36,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
1318617:Candidatus Mycoplasma girerdii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,147,68,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649349:Leadbetterella byssophila DSM 17132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,42,0,37,41,39,0,42,39,0,0,0,0,0,0,0,0
